"filename", "language", "C#", "comment", "blank", "total"
"c:\Users\karen\Armor Echo\Assets\Scripts\Core\Base\AITankHealth.cs", "C#", 166, 0, 32, 198
"c:\Users\karen\Armor Echo\Assets\Scripts\Core\Base\ArmorProfile.cs", "C#", 164, 1, 51, 216
"c:\Users\karen\Armor Echo\Assets\Scripts\Core\Base\Bullet.cs", "C#", 404, 0, 117, 521
"c:\Users\karen\Armor Echo\Assets\Scripts\Core\Base\BulletPool.cs", "C#", 56, 0, 13, 69
"c:\Users\karen\Armor Echo\Assets\Scripts\Core\Base\PlayerTankHealth.cs", "C#", 46, 0, 13, 59
"c:\Users\karen\Armor Echo\Assets\Scripts\Core\Base\TankCollisionDamage.cs", "C#", 68, 0, 22, 90
"c:\Users\karen\Armor Echo\Assets\Scripts\Core\Base\TeamComponent.cs", "C#", 9, 0, 2, 11
"c:\Users\karen\Armor Echo\Assets\Scripts\Core\Base\TeamMarker.cs", "C#", 89, 0, 19, 108
"c:\Users\karen\Armor Echo\Assets\Scripts\Core\Data\BulletDefinition.cs", "C#", 48, 0, 31, 79
"c:\Users\karen\Armor Echo\Assets\Scripts\Core\Data\TankDefinition.cs", "C#", 54, 0, 8, 62
"c:\Users\karen\Armor Echo\Assets\Scripts\Core\Enums\AiStateEnum.cs", "C#", 1, 0, 1, 2
"c:\Users\karen\Armor Echo\Assets\Scripts\Core\Enums\BulletType.cs", "C#", 13, 0, 1, 14
"c:\Users\karen\Armor Echo\Assets\Scripts\Core\Enums\CapturePointEnum.cs", "C#", 6, 0, 1, 7
"c:\Users\karen\Armor Echo\Assets\Scripts\Core\Enums\TankClassEnum.cs", "C#", 1, 0, 1, 2
"c:\Users\karen\Armor Echo\Assets\Scripts\Core\Enums\TeamEnum.cs", "C#", 6, 0, 1, 7
"c:\Users\karen\Armor Echo\Assets\Scripts\Core\Interfaces\Interfaces.cs", "C#", 13, 0, 3, 16
"c:\Users\karen\Armor Echo\Assets\Scripts\GamePlay\AI\Audio\AiAudio.cs", "C#", 22, 0, 6, 28
"c:\Users\karen\Armor Echo\Assets\Scripts\GamePlay\AI\Components\AiCombat.cs", "C#", 83, 0, 21, 104
"c:\Users\karen\Armor Echo\Assets\Scripts\GamePlay\AI\Components\AiNavigation.cs", "C#", 170, 0, 49, 219
"c:\Users\karen\Armor Echo\Assets\Scripts\GamePlay\AI\Components\AiPerception.cs", "C#", 127, 1, 27, 155
"c:\Users\karen\Armor Echo\Assets\Scripts\GamePlay\AI\Components\AiStateHandler.cs", "C#", 132, 1, 29, 162
"c:\Users\karen\Armor Echo\Assets\Scripts\GamePlay\AI\Components\AiWeapons.cs", "C#", 78, 0, 20, 98
"c:\Users\karen\Armor Echo\Assets\Scripts\GamePlay\AI\Core\TankAi.cs", "C#", 150, 3, 30, 183
"c:\Users\karen\Armor Echo\Assets\Scripts\GamePlay\AI\Init\AiInit.cs", "C#", 101, 0, 20, 121
"c:\Users\karen\Armor Echo\Assets\Scripts\GamePlay\AI\TankAiImpl.cs", "C#", 37, 0, 11, 48
"c:\Users\karen\Armor Echo\Assets\Scripts\GamePlay\AI\UI\HealthMarker.cs", "C#", 134, 4, 26, 164
"c:\Users\karen\Armor Echo\Assets\Scripts\GamePlay\CaptureSystem\CapturePoint.cs", "C#", 252, 0, 56, 308
"c:\Users\karen\Armor Echo\Assets\Scripts\GamePlay\Vehicles\Tank\Movement\Core\Movement.cs", "C#", 40, 0, 8, 48
"c:\Users\karen\Armor Echo\Assets\Scripts\GamePlay\Vehicles\Tank\Movement\Core\MovementContext.cs", "C#", 20, 0, 4, 24
"c:\Users\karen\Armor Echo\Assets\Scripts\GamePlay\Vehicles\Tank\Movement\Init\MovementInit.cs", "C#", 52, 0, 9, 61
"c:\Users\karen\Armor Echo\Assets\Scripts\GamePlay\Vehicles\Tank\Movement\Input\MovementInputHandler.cs", "C#", 55, 0, 14, 69
"c:\Users\karen\Armor Echo\Assets\Scripts\GamePlay\Vehicles\Tank\Movement\MovementImpl.cs", "C#", 23, 0, 3, 26
"c:\Users\karen\Armor Echo\Assets\Scripts\GamePlay\Vehicles\Tank\Movement\Physics\MovementFixedHandler.cs", "C#", 18, 0, 7, 25
"c:\Users\karen\Armor Echo\Assets\Scripts\GamePlay\Vehicles\Tank\Movement\Physics\MovementPhysics.cs", "C#", 50, 0, 13, 63
"c:\Users\karen\Armor Echo\Assets\Scripts\GamePlay\Vehicles\Tank\Movement\Tracks\TankTrack.cs", "C#", 18, 0, 7, 25
"c:\Users\karen\Armor Echo\Assets\Scripts\GamePlay\Vehicles\Tank\Movement\Tracks\TankWheelSetup.cs", "C#", 42, 0, 8, 50
"c:\Users\karen\Armor Echo\Assets\Scripts\GamePlay\Vehicles\Tank\Movement\Tracks\TrackController.cs", "C#", 49, 0, 14, 63
"c:\Users\karen\Armor Echo\Assets\Scripts\GamePlay\Vehicles\Tank\Turret\TurretAiming.cs", "C#", 150, 0, 36, 186
"c:\Users\karen\Armor Echo\Assets\Scripts\GamePlay\Vehicles\Tank\Weapons\BulletSlot.cs", "C#", 8, 0, 1, 9
